               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.047596,            0.013731,            0.012059,             0.82905,              0.5235,             0.56881,             0.26112,            0.044978,           0.0096384,            0.011658,           0.0097671,           0.0097671,           0.0097671
                  74,            0.045672,            0.012498,            0.011374,             0.84076,             0.49648,             0.55537,             0.25937,            0.045382,           0.0097864,            0.010744,           0.0097606,           0.0097606,           0.0097606
                  75,            0.046135,            0.013022,            0.011666,             0.85697,             0.51297,             0.57154,             0.25112,            0.045655,           0.0096331,            0.010427,           0.0097541,           0.0097541,           0.0097541
                  76,            0.047342,            0.012723,            0.012026,             0.91349,             0.45556,             0.55538,             0.25133,            0.046179,           0.0098454,            0.012728,           0.0097475,           0.0097475,           0.0097475
                  77,            0.046232,            0.012605,            0.010431,             0.83046,             0.49126,             0.54166,             0.23997,            0.045697,           0.0096775,            0.012961,           0.0097408,           0.0097408,           0.0097408
                  78,            0.046661,            0.012698,            0.010264,             0.84094,             0.52875,             0.57263,             0.26211,            0.044812,           0.0096078,           0.0097292,            0.009734,            0.009734,            0.009734
                  79,            0.045449,            0.012801,            0.011309,             0.88846,             0.49836,             0.57224,             0.25672,            0.044496,            0.009521,            0.012237,           0.0097271,           0.0097271,           0.0097271
                  80,            0.045218,            0.012214,            0.010161,             0.89569,             0.51736,             0.57805,             0.26968,            0.044641,           0.0095493,            0.010668,           0.0097201,           0.0097201,           0.0097201
                  81,            0.046073,              0.0129,            0.010221,             0.81527,             0.50985,             0.54542,             0.24439,            0.045086,            0.009782,            0.012538,           0.0097131,           0.0097131,           0.0097131
                  82,            0.044481,            0.012293,           0.0095489,             0.86688,             0.50876,             0.56409,             0.25718,            0.045122,           0.0093859,            0.013101,           0.0097059,           0.0097059,           0.0097059
                  83,            0.045347,            0.012436,              0.0098,             0.86209,             0.50739,             0.56669,               0.258,             0.04657,           0.0096275,            0.011263,           0.0096987,           0.0096987,           0.0096987
                  84,            0.045928,            0.012519,           0.0097152,             0.83498,             0.51393,             0.56831,             0.26754,            0.044594,           0.0092926,            0.011145,           0.0096914,           0.0096914,           0.0096914
                  85,            0.045238,            0.012795,            0.010448,             0.84412,             0.51483,             0.57297,             0.26134,             0.04431,           0.0095615,            0.011388,            0.009684,            0.009684,            0.009684
                  86,            0.044183,            0.012144,           0.0098818,             0.80655,             0.51034,             0.55047,             0.25501,            0.043546,           0.0095002,            0.015668,           0.0096765,           0.0096765,           0.0096765
                  87,            0.044848,              0.0123,            0.010136,             0.85712,             0.50985,             0.57178,             0.26601,            0.043976,           0.0094366,            0.011402,            0.009669,            0.009669,            0.009669
                  88,            0.045109,            0.012494,           0.0098256,              0.8496,             0.50841,             0.57025,             0.25844,            0.044243,           0.0093606,            0.011851,           0.0096613,           0.0096613,           0.0096613
                  89,            0.044858,            0.012461,           0.0098406,             0.80173,             0.51364,             0.54896,             0.24906,            0.045126,           0.0096003,            0.013268,           0.0096536,           0.0096536,           0.0096536
                  90,            0.044651,            0.012168,            0.010409,             0.86056,             0.46762,             0.54556,             0.25863,            0.044821,           0.0095097,            0.013386,           0.0096458,           0.0096458,           0.0096458
                  91,            0.044362,            0.012932,           0.0091902,             0.88307,             0.52719,             0.59256,             0.27705,            0.043366,           0.0092664,           0.0097682,           0.0096379,           0.0096379,           0.0096379
                  92,            0.044369,            0.011887,           0.0092868,             0.89675,             0.50407,             0.57835,             0.27562,            0.042723,           0.0091725,            0.010101,           0.0096299,           0.0096299,           0.0096299
                  93,            0.044247,            0.012572,           0.0093088,              0.8508,             0.48687,             0.56005,             0.26585,            0.043525,           0.0092994,            0.012931,           0.0096218,           0.0096218,           0.0096218
                  94,             0.04314,            0.012049,           0.0084952,             0.88105,             0.51412,             0.57915,             0.28096,            0.043774,           0.0091582,            0.010852,           0.0096137,           0.0096137,           0.0096137
                  95,            0.044115,            0.012446,            0.010167,             0.84064,             0.53998,             0.58987,             0.27257,            0.043152,           0.0092983,           0.0092254,           0.0096055,           0.0096055,           0.0096055
                  96,            0.044098,             0.01197,           0.0087472,             0.85063,             0.54515,             0.59633,             0.28195,            0.042953,           0.0091531,            0.010241,           0.0095971,           0.0095971,           0.0095971
                  97,             0.04382,            0.012092,           0.0089071,             0.82801,              0.5187,              0.5729,             0.27327,             0.04346,           0.0092322,            0.014627,           0.0095888,           0.0095888,           0.0095888
                  98,            0.043296,            0.011553,           0.0085141,             0.86592,             0.51032,             0.57664,             0.27419,              0.0436,            0.009277,            0.010129,           0.0095803,           0.0095803,           0.0095803
                  99,            0.041945,            0.011393,           0.0087404,             0.87988,              0.5036,             0.57629,             0.27376,            0.043551,           0.0090979,            0.011586,           0.0095717,           0.0095717,           0.0095717
                 100,            0.043453,            0.011724,           0.0095655,              0.8835,             0.51206,             0.57832,             0.27902,            0.042545,           0.0090838,            0.012782,           0.0095631,           0.0095631,           0.0095631
                 101,            0.043534,            0.011758,           0.0086898,             0.85481,             0.50999,             0.57416,             0.26897,            0.043346,           0.0091741,            0.012408,           0.0095544,           0.0095544,           0.0095544
                 102,            0.042546,            0.011683,           0.0081726,              0.8311,             0.53542,             0.58533,             0.27762,            0.043324,           0.0088355,            0.011419,           0.0095456,           0.0095456,           0.0095456
                 103,            0.042278,             0.01198,           0.0086051,              0.8356,              0.5511,             0.59186,             0.28639,            0.042139,           0.0090318,           0.0099387,           0.0095367,           0.0095367,           0.0095367
                 104,            0.042865,            0.012124,           0.0083644,             0.85906,             0.54143,             0.59783,             0.29288,              0.0433,           0.0089961,           0.0094931,           0.0095277,           0.0095277,           0.0095277
                 105,            0.042832,            0.011346,           0.0083223,             0.88585,             0.52875,             0.59698,             0.28365,            0.042284,           0.0089474,           0.0099919,           0.0095187,           0.0095187,           0.0095187
                 106,            0.042406,            0.012082,           0.0086342,             0.90169,             0.51797,             0.60036,             0.28746,            0.042102,           0.0088154,           0.0089353,           0.0095095,           0.0095095,           0.0095095
                 107,            0.041549,            0.011897,           0.0077092,             0.88682,             0.52988,             0.59495,             0.28485,            0.042001,           0.0088895,             0.01046,           0.0095003,           0.0095003,           0.0095003
                 108,            0.042594,            0.011189,            0.007815,             0.85058,             0.53904,             0.58479,             0.28622,            0.041976,           0.0089102,            0.012364,            0.009491,            0.009491,            0.009491
                 109,            0.041465,            0.011028,           0.0075697,             0.83277,             0.54354,             0.58788,             0.28394,             0.04228,           0.0090571,            0.010457,           0.0094817,           0.0094817,           0.0094817
                 110,            0.042029,             0.01223,            0.007834,             0.89554,             0.51377,              0.5925,             0.28231,            0.041911,           0.0089784,           0.0094272,           0.0094722,           0.0094722,           0.0094722
                 111,             0.04124,            0.011321,            0.007773,             0.86878,             0.54587,              0.6001,             0.28894,             0.04282,           0.0090419,           0.0093376,           0.0094627,           0.0094627,           0.0094627
                 112,            0.041721,            0.011572,           0.0076075,             0.85756,             0.54928,             0.59753,             0.28551,            0.042479,           0.0089286,           0.0093563,           0.0094531,           0.0094531,           0.0094531
                 113,            0.042959,            0.011898,           0.0073215,              0.8684,             0.56902,             0.61132,             0.29803,            0.041723,           0.0086523,           0.0084217,           0.0094434,           0.0094434,           0.0094434
                 114,            0.041454,            0.011126,           0.0085974,             0.88258,             0.56045,             0.62021,             0.28897,            0.042639,           0.0087031,           0.0088029,           0.0094336,           0.0094336,           0.0094336
                 115,            0.042013,            0.011743,           0.0073199,             0.88493,             0.53844,             0.59438,             0.28282,            0.042206,           0.0089455,            0.011014,           0.0094238,           0.0094238,           0.0094238
